"plot_number","prow","pcol","grow","gcol","subplot"
140,18,"11",1,2,2
140,18,"11",1,3,1
133,18,"12",1,1,3
133,18,"12",1,2,2
133,18,"12",1,3,1
116,18,"13",1,1,3
116,18,"13",1,2,2
116,18,"13",1,3,1
109,18,"14",1,1,3
109,18,"14",1,2,2
109,18,"14",1,3,1
435,19,"1",1,1,3
435,19,"1",1,2,2
435,19,"1",1,3,1
426,19,"2",1,1,3
426,19,"2",1,2,2
426,19,"2",1,3,1
411,19,"3",1,1,3
411,19,"3",1,2,2
411,19,"3",1,3,1
402,19,"4",1,1,3
402,19,"4",1,2,2
402,19,"4",1,3,1
329,19,"5",1,1,3
329,19,"5",1,2,2
329,19,"5",1,3,1
320,19,"6",1,1,3
320,19,"6",1,2,2
320,19,"6",1,3,1
305,19,"7",1,1,3
305,19,"7",1,2,2
305,19,"7",1,3,1
238,19,"8",1,1,3
238,19,"8",1,2,2
238,19,"8",1,3,1
223,19,"9",1,1,3
223,19,"9",1,2,2
223,19,"9",1,3,1
214,19,"10",1,1,3
214,19,"10",1,2,2
214,19,"10",1,3,1
141,19,"11",1,1,3
141,19,"11",1,2,2
141,19,"11",1,3,1
132,19,"12",1,1,3
132,19,"12",1,2,2
132,19,"12",1,3,1
117,19,"13",1,1,3
117,19,"13",1,2,2
117,19,"13",1,3,1
108,19,"14",1,1,3
108,19,"14",1,2,2
108,19,"14",1,3,1
436,20,"1",1,1,3
436,20,"1",1,2,2
436,20,"1",1,3,1
425,20,"2",1,1,3
425,20,"2",1,2,2
425,20,"2",1,3,1
412,20,"3",1,1,3
412,20,"3",1,2,2
412,20,"3",1,3,1
401,20,"4",1,1,3
401,20,"4",1,2,2
401,20,"4",1,3,1
330,20,"5",1,1,3
330,20,"5",1,2,2
330,20,"5",1,3,1
319,20,"6",1,1,3
319,20,"6",1,2,2
319,20,"6",1,3,1
306,20,"7",1,1,3
306,20,"7",1,2,2
306,20,"7",1,3,1
237,20,"8",1,1,3
237,20,"8",1,2,2
237,20,"8",1,3,1
224,20,"9",1,1,3
224,20,"9",1,2,2
224,20,"9",1,3,1
213,20,"10",1,1,3
213,20,"10",1,2,2
213,20,"10",1,3,1
142,20,"11",1,1,3
142,20,"11",1,2,2
142,20,"11",1,3,1
131,20,"12",1,1,3
131,20,"12",1,2,2
131,20,"12",1,3,1
118,20,"13",1,1,3
118,20,"13",1,2,2
118,20,"13",1,3,1
107,20,"14",1,1,3
107,20,"14",1,2,2
107,20,"14",1,3,1
437,21,"1",1,1,3
437,21,"1",1,2,2
437,21,"1",1,3,1
424,21,"2",1,1,3
424,21,"2",1,2,2
424,21,"2",1,3,1
413,21,"3",1,1,3
413,21,"3",1,2,2
413,21,"3",1,3,1
342,21,"4",1,1,3
342,21,"4",1,2,2
342,21,"4",1,3,1
331,21,"5",1,1,3
331,21,"5",1,2,2
331,21,"5",1,3,1
318,21,"6",1,1,3
318,21,"6",1,2,2
318,21,"6",1,3,1
307,21,"7",1,1,3
307,21,"7",1,2,2
307,21,"7",1,3,1
236,21,"8",1,1,3
236,21,"8",1,2,2
236,21,"8",1,3,1
225,21,"9",1,1,3
225,21,"9",1,2,2
225,21,"9",1,3,1
212,21,"10",1,1,3
212,21,"10",1,2,2
212,21,"10",1,3,1
201,21,"11",1,1,3
201,21,"11",1,2,2
201,21,"11",1,3,1
130,21,"12",1,1,3
130,21,"12",1,2,2
130,21,"12",1,3,1
119,21,"13",1,1,3
119,21,"13",1,2,2
119,21,"13",1,3,1
106,21,"14",1,1,3
106,21,"14",1,2,2
106,21,"14",1,3,1
438,22,"1",1,1,3
438,22,"1",1,2,2
438,22,"1",1,3,1
423,22,"2",1,1,3
423,22,"2",1,2,2
423,22,"2",1,3,1
414,22,"3",1,1,3
414,22,"3",1,2,2
414,22,"3",1,3,1
341,22,"4",1,1,3
341,22,"4",1,2,2
341,22,"4",1,3,1
332,22,"5",1,1,3
332,22,"5",1,2,2
332,22,"5",1,3,1
317,22,"6",1,1,3
317,22,"6",1,2,2
317,22,"6",1,3,1
308,22,"7",1,1,3
308,22,"7",1,2,2
308,22,"7",1,3,1
235,22,"8",1,1,3
235,22,"8",1,2,2
235,22,"8",1,3,1
226,22,"9",1,1,3
226,22,"9",1,2,2
226,22,"9",1,3,1
211,22,"10",1,1,3
211,22,"10",1,2,2
211,22,"10",1,3,1
202,22,"11",1,1,3
202,22,"11",1,2,2
202,22,"11",1,3,1
129,22,"12",1,1,3
129,22,"12",1,2,2
129,22,"12",1,3,1
120,22,"13",1,1,3
120,22,"13",1,2,2
120,22,"13",1,3,1
105,22,"14",1,1,3
105,22,"14",1,2,2
105,22,"14",1,3,1
439,23,"1",1,1,3
439,23,"1",1,2,2
439,23,"1",1,3,1
422,23,"2",1,1,3
422,23,"2",1,2,2
422,23,"2",1,3,1
415,23,"3",1,1,3
415,23,"3",1,2,2
415,23,"3",1,3,1
340,23,"4",1,1,3
340,23,"4",1,2,2
340,23,"4",1,3,1
333,23,"5",1,1,3
333,23,"5",1,2,2
333,23,"5",1,3,1
316,23,"6",1,1,3
316,23,"6",1,2,2
316,23,"6",1,3,1
309,23,"7",1,1,3
309,23,"7",1,2,2
309,23,"7",1,3,1
234,23,"8",1,1,3
234,23,"8",1,2,2
234,23,"8",1,3,1
227,23,"9",1,1,3
227,23,"9",1,2,2
227,23,"9",1,3,1
210,23,"10",1,1,3
210,23,"10",1,2,2
210,23,"10",1,3,1
203,23,"11",1,1,3
203,23,"11",1,2,2
203,23,"11",1,3,1
128,23,"12",1,1,3
128,23,"12",1,2,2
128,23,"12",1,3,1
121,23,"13",1,1,3
121,23,"13",1,2,2
121,23,"13",1,3,1
104,23,"14",1,1,3
104,23,"14",1,2,2
104,23,"14",1,3,1
440,24,"1",1,1,3
440,24,"1",1,2,2
440,24,"1",1,3,1
421,24,"2",1,1,3
421,24,"2",1,2,2
421,24,"2",1,3,1
416,24,"3",1,1,3
416,24,"3",1,2,2
416,24,"3",1,3,1
339,24,"4",1,1,3
339,24,"4",1,2,2
339,24,"4",1,3,1
334,24,"5",1,1,3
334,24,"5",1,2,2
334,24,"5",1,3,1
315,24,"6",1,1,3
315,24,"6",1,2,2
315,24,"6",1,3,1
310,24,"7",1,1,3
310,24,"7",1,2,2
310,24,"7",1,3,1
233,24,"8",1,1,3
233,24,"8",1,2,2
233,24,"8",1,3,1
228,24,"9",1,1,3
228,24,"9",1,2,2
228,24,"9",1,3,1
209,24,"10",1,1,3
209,24,"10",1,2,2
209,24,"10",1,3,1
204,24,"11",1,1,3
204,24,"11",1,2,2
204,24,"11",1,3,1
127,24,"12",1,1,3
127,24,"12",1,2,2
127,24,"12",1,3,1
122,24,"13",1,1,3
122,24,"13",1,2,2
122,24,"13",1,3,1
103,24,"14",1,1,3
103,24,"14",1,2,2
103,24,"14",1,3,1
441,25,"1",1,1,3
441,25,"1",1,2,2
441,25,"1",1,3,1
420,25,"2",1,1,3
420,25,"2",1,2,2
420,25,"2",1,3,1
417,25,"3",1,1,3
417,25,"3",1,2,2
417,25,"3",1,3,1
338,25,"4",1,1,3
338,25,"4",1,2,2
338,25,"4",1,3,1
335,25,"5",1,1,3
335,25,"5",1,2,2
335,25,"5",1,3,1
314,25,"6",1,1,3
314,25,"6",1,2,2
314,25,"6",1,3,1
311,25,"7",1,1,3
311,25,"7",1,2,2
311,25,"7",1,3,1
232,25,"8",1,1,3
232,25,"8",1,2,2
232,25,"8",1,3,1
229,25,"9",1,1,3
229,25,"9",1,2,2
229,25,"9",1,3,1
208,25,"10",1,1,3
208,25,"10",1,2,2
208,25,"10",1,3,1
205,25,"11",1,1,3
205,25,"11",1,2,2
205,25,"11",1,3,1
126,25,"12",1,1,3
126,25,"12",1,2,2
126,25,"12",1,3,1
123,25,"13",1,1,3
123,25,"13",1,2,2
123,25,"13",1,3,1
102,25,"14",1,1,3
102,25,"14",1,2,2
102,25,"14",1,3,1
442,26,"1",1,1,3
442,26,"1",1,2,2
442,26,"1",1,3,1
419,26,"2",1,1,3
419,26,"2",1,2,2
419,26,"2",1,3,1
418,26,"3",1,1,3
418,26,"3",1,2,2
418,26,"3",1,3,1
337,26,"4",1,1,3
337,26,"4",1,2,2
337,26,"4",1,3,1
